Format Version,1.24,Take Name,Push_0_deg_005,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-21 02.23.30.933 午前,Capture Start Frame,38846541,Total Frames in Take,1001,Total Exported Frames,1001,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.003144,-0.000583,0.001822,0.999993,-3.662034,419.389008,104.292717
1,0.010000,0.003143,-0.000550,0.001792,0.999993,-3.653477,419.385254,104.291763
2,0.020000,0.003140,-0.000512,0.001733,0.999993,-3.645835,419.381531,104.287254
3,0.030000,0.003133,-0.000549,0.001751,0.999993,-3.645091,419.381195,104.282860
4,0.040000,0.003131,-0.000555,0.001760,0.999993,-3.647864,419.382965,104.278931
5,0.050000,0.003120,-0.000580,0.001800,0.999993,-3.651862,419.383728,104.275139
6,0.060000,0.003110,-0.000565,0.001772,0.999993,-3.656847,419.384827,104.275970
7,0.070000,0.003093,-0.000590,0.001808,0.999993,-3.665615,419.386444,104.276215
8,0.080000,0.003092,-0.000563,0.001820,0.999993,-3.674820,419.391968,104.274818
9,0.090000,0.003101,-0.000595,0.001863,0.999993,-3.681468,419.396057,104.276154
10,0.100000,0.003120,-0.000602,0.001870,0.999993,-3.687107,419.397064,104.280960
11,0.110000,0.003125,-0.000601,0.001876,0.999993,-3.690396,419.396759,104.287506
12,0.120000,0.003130,-0.000613,0.001908,0.999993,-3.686401,419.395294,104.289612
