Format Version,1.24,Take Name,Push_300_deg_006,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-23 01.37.39.728 午後,Capture Start Frame,60171225,Total Frames in Take,501,Total Exported Frames,501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.014314,0.021790,0.020848,0.999443,-61.022106,423.354462,185.181168
1,0.010000,-0.014303,0.021686,0.020831,0.999445,-61.012722,423.350433,185.189285
2,0.020000,-0.014389,0.021915,0.020883,0.999438,-61.004532,423.359375,185.160950
3,0.030000,-0.014431,0.021702,0.021022,0.999439,-61.006172,423.356018,185.144897
4,0.040000,-0.014366,0.021421,0.020898,0.999449,-60.990265,423.339233,185.161682
5,0.050000,-0.014352,0.021399,0.020879,0.999450,-60.983482,423.335480,185.153473
6,0.060000,-0.014399,0.021383,0.020823,0.999451,-60.976665,423.338562,185.142761
7,0.070000,-0.014433,0.021370,0.020849,0.999450,-60.976841,423.343231,185.133728
8,0.080000,-0.014445,0.021394,0.020846,0.999449,-60.976791,423.344299,185.134262
9,0.090000,-0.014510,0.021636,0.020899,0.999442,-60.985703,423.353577,185.115311
10,0.100000,-0.014406,0.021372,0.020845,0.999451,-60.986820,423.336334,185.155380
11,0.110000,-0.014418,0.021620,0.020886,0.999444,-60.987656,423.338867,185.146378
12,0.120000,-0.014405,0.021593,0.020896,0.999445,-60.985283,423.333893,185.156464
