Format Version,1.24,Take Name,Push_300_deg_004,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-02 02.27.10.454 午後,Capture Start Frame,1034611,Total Frames in Take,1501,Total Exported Frames,1501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002
,ID,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.015710,0.001272,-0.016738,0.999736,126.640335,415.751526,112.814491
1,0.010000,0.015696,0.001320,-0.016752,0.999736,126.637337,415.752228,112.809341
2,0.020000,0.015695,0.001332,-0.016756,0.999736,126.633881,415.748718,112.811073
3,0.030000,0.015673,0.001064,-0.016507,0.999740,126.625481,415.748169,112.817337
4,0.040000,0.015664,0.000990,-0.016463,0.999741,126.624886,415.747742,112.818878
5,0.050000,0.015649,0.001045,-0.016498,0.999741,126.624611,415.748474,112.811150
6,0.060000,0.015632,0.001266,-0.016679,0.999738,126.627075,415.749329,112.791794
7,0.070000,0.015578,0.001088,-0.016545,0.999741,126.627937,415.751099,112.770485
8,0.080000,0.015526,0.001119,-0.016552,0.999742,126.626434,415.756317,112.752289
9,0.090000,0.015505,0.001125,-0.016515,0.999743,126.621857,415.761932,112.739326
10,0.100000,0.015487,0.001121,-0.016563,0.999742,126.613869,415.759888,112.736015
11,0.110000,0.015484,0.001096,-0.016534,0.999743,126.606316,415.758484,112.736267
12,0.120000,0.015501,0.001083,-0.016549,0.999742,126.598808,415.751404,112.741051
13,0.130000,0.015526,0.001077,-0.016570,0.999742,126.589493,415.747406,112.748337
14,0.140000,0.015557,0.001055,-0.016575,0.999741,126.578468,415.746399,112.754532
15,0.150000,0.015571,0.001117,-0.016655,0.999739,126.563339,415.739868,112.760620
16,0.160000,0.015616,0.001359,-0.016785,0.999736,126.536415,415.733673,112.762848
