Format Version,1.24,Take Name,Push_90_deg_006,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-23 10.25.26.070 午前,Capture Start Frame,59017869,Total Frames in Take,501,Total Exported Frames,501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.010625,0.021397,0.010858,0.999656,-35.402985,422.842896,202.616211
1,0.010000,-0.010629,0.021389,0.010843,0.999656,-35.390636,422.843903,202.617432
2,0.020000,-0.010671,0.021352,0.010828,0.999656,-35.376141,422.847198,202.615219
3,0.030000,,,,,,,
4,0.040000,-0.010713,0.021334,0.010818,0.999657,-35.346630,422.852905,202.608414
5,0.050000,-0.010739,0.021115,0.011005,0.999659,-35.344700,422.857178,202.599884
6,0.060000,-0.010765,0.020975,0.011058,0.999661,-35.330135,422.857574,202.593002
7,0.070000,-0.010732,0.021164,0.010822,0.999660,-35.268784,422.847290,202.588791
8,0.080000,-0.010749,0.021244,0.010640,0.999660,-35.201450,422.829620,202.582581
9,0.090000,-0.010756,0.021214,0.010757,0.999659,-35.129700,422.806915,202.585709
10,0.100000,-0.010779,0.021258,0.010589,0.999660,-35.021996,422.790100,202.592194
11,0.110000,-0.010815,0.020950,0.010770,0.999664,-34.920551,422.790741,202.598419
12,0.120000,-0.010773,0.021322,0.010574,0.999659,-34.703037,422.789825,202.600952
