,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Lunate,Lunate,Lunate,Lunate,Lunate,Lunate,Lunate,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,Radius,Radius,Radius,Radius,Radius,Radius,Radius,Capitate,Capitate,Capitate,Capitate,Capitate,Capitate,Capitate
,ID,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
8,0.080000,-0.080385,0.013390,-0.004786,0.996662,194.735291,211.224960,-198.901535,-0.087680,-0.011842,0.017490,0.995925,235.916885,207.263000,-194.328201,-0.025044,0.499290,0.005672,0.866054,103.173210,324.296631,-79.827782,0.011825,-0.061772,0.035461,0.997390,223.239914,163.582153,-176.769470,-0.093897,0.008002,-0.011752,0.995480,217.297058,188.637421,-196.942169
9,0.090000,-0.077073,0.023063,-0.002817,0.996755,194.753311,211.229401,-198.909943,-0.087500,-0.011628,0.017519,0.995943,235.941788,207.260193,-194.354492,-0.025063,0.499182,0.005557,0.866117,103.182312,324.300354,-79.843452,0.011738,-0.061788,0.035240,0.997398,223.270676,163.572952,-176.801147,-0.095061,0.011008,-0.014147,0.995310,217.329178,188.642899,-196.958588
10,0.100000,-0.077670,0.024900,-0.003215,0.996663,194.788727,211.229355,-198.951584,-0.087553,-0.011483,0.017342,0.995943,235.966339,207.254333,-194.377853,-0.025086,0.499166,0.005578,0.866125,103.177528,324.295715,-79.858780,0.011865,-0.061672,0.035326,0.997401,223.302719,163.570129,-176.825195,-0.095754,0.012554,-0.015019,0.995213,217.347717,188.645844,-196.968323
11,0.110000,-0.078175,0.025319,-0.003346,0.996612,194.812546,211.231064,-198.963943,-0.087555,-0.011234,0.017254,0.995947,235.991241,207.254074,-194.391510,-0.025191,0.499031,0.005525,0.866200,103.173141,324.278107,-79.894737,0.012004,-0.061806,0.035269,0.997393,223.321762,163.565811,-176.834717,-0.096385,0.013183,-0.015226,0.995140,217.369537,188.648361,-196.974976
12,0.120000,-0.078224,0.025530,-0.003496,0.996603,194.837112,211.230942,-198.967300,-0.087696,-0.011522,0.016998,0.995936,236.021408,207.249329,-194.397232,-0.026264,0.498469,0.004211,0.866500,103.170792,324.263885,-79.878120,0.012197,-0.061901,0.035284,0.997384,223.341171,163.563095,-176.841003,-0.096721,0.013410,-0.015285,0.995104,217.391296,188.648758,-196.977829
13,0.130000,-0.078424,0.025421,-0.003536,0.996590,194.853409,211.231201,-198.960709,-0.087678,-0.011841,0.016782,0.995937,236.037125,207.250839,-194.390869,-0.026257,0.498494,0.004219,0.866485,103.168892,324.262695,-79.905594,0.012196,-0.061995,0.035275,0.997378,223.355118,163.562790,-176.835922,-0.096742,0.013339,-0.015108,0.995106,217.409836,188.648666,-196.977905
14,0.140000,-0.078629,0.025585,-0.003543,0.996569,194.858185,211.232788,-198.947281,-0.087557,-0.011977,0.016755,0.995947,236.040955,207.252777,-194.374527,-0.026231,0.498529,0.004216,0.866466,103.178391,324.270599,-79.920235,0.012347,-0.061709,0.035289,0.997394,223.357910,163.563370,-176.811142,-0.096297,0.012524,-0.014553,0.995168,217.416428,188.648834,-196.974899
15,0.150000,-0.078970,0.025577,-0.003492,0.996543,194.843430,211.234482,-198.920059,-0.087290,-0.011630,0.016913,0.995972,236.021210,207.258835,-194.346863,-0.025949,0.498713,0.004588,0.866367,103.198944,324.283478,-79.935028,0.012106,-0.061495,0.035256,0.997411,223.347778,163.569427,-176.782959,-0.095685,0.011321,-0.013774,0.995252,217.410400,188.644806,-196.971893
16,0.160000,-0.080586,0.014215,-0.004167,0.996638,194.837814,211.218353,-198.964691,-0.087116,-0.011392,0.017201,0.995985,235.982513,207.263992,-194.305710,-0.024890,0.499199,0.005797,0.866111,103.216827,324.308899,-79.993668,0.011966,-0.061521,0.035183,0.997414,223.305054,163.577515,-176.737930,-0.093160,0.009325,-0.012627,0.995528,217.397659,188.650772,-196.951538
17,0.170000,-0.083703,0.003191,-0.006084,0.996467,194.767471,211.214279,-198.915909,-0.088421,-0.011741,0.017485,0.995861,235.918655,207.272400,-194.240082,-0.024521,0.499010,0.006230,0.866227,103.233154,324.344147,-80.069710,0.012220,-0.061815,0.035482,0.997382,223.237671,163.584183,-176.685974,-0.090893,0.004678,-0.010806,0.995791,217.351074,188.648788,-196.941589
