stiffness,condition,angle,rep,stiffness_norm
74.32066121343667,Finger,0,1,0.8238193285109501
0.4575503943244899,Finger,0,2,0.005071790972497076
57.435599663554896,Finger,0,3,0.6366541467058293
55.21007666468398,Finger,0,4,0.6119849789053678
132.71358334518717,Finger,0,5,1.471085070162799
36.958911828399295,Finger,0,6,0.4096770053959453
81.97825208003692,Finger,0,7,0.9087011266910997
108.99974721127984,Finger,0,8,1.2082252376304927
54.977704995763034,Finger,30,1,0.6094092177491847
71.80871692676178,Finger,30,2,0.7959752778564156
47.52872568315126,Finger,30,3,0.5268398079078963
79.05689248271246,Finger,30,4,0.8763188461447077
54.98790615316892,Finger,30,5,0.609522294119967
92.33454520107765,Finger,30,6,1.0234971242715931
92.25267578359842,Finger,30,7,1.0225896295395478
104.37893753680211,Finger,30,8,1.1570051292373114
50.85460202001377,Finger,60,1,0.5637060193464078
43.42324239946167,Finger,60,2,0.48133191781702334
106.38667675377656,Finger,60,3,1.1792602376627184
157.69910978035148,Finger,60,4,1.7480411584731153
90.49317796170999,Finger,60,5,1.0030861928036734
81.85789005706192,Finger,60,6,0.9073669544794085
101.41493057097824,Finger,60,7,1.124150117072197
82.3818008321001,Finger,60,8,0.9131743277702905
43.55996955598633,Finger,90,1,0.4828474919849371
82.64627112758568,Finger,90,2,0.9161058913177719
81.87654644506775,Finger,90,3,0.907573754214347
63.11134761159412,Finger,90,4,0.6995678881474316
13.43644192389252,Finger,90,5,0.14893840262707833
92.94466892564438,Finger,90,6,1.0302601388744597
96.21649225691647,Finger,90,7,1.0665271910745782
50.79930633924211,Finger,90,8,0.5630930854750037
0.40246474782777397,Finger,120,1,0.0044611852598112
29.984241944210453,Finger,120,2,0.3323651547373941
58.92165562643959,Finger,120,3,0.6531265731547483
50.03822128838356,Finger,120,4,0.5546567157589515
23.461974700251343,Finger,120,5,0.260068033942727
78.5371883694609,Finger,120,7,0.8705581022733135
76.11055809605276,Finger,120,8,0.8436597285271173
25.49100288511552,Finger,150,1,0.2825591233584169
23.338047787571266,Finger,150,2,0.2586943461374565
69.23406881490237,Finger,150,3,0.7674361765616531
32.17095321033257,Finger,150,4,0.3566041076408212
21.167872786959013,Finger,150,5,0.23463869213000255
19.74697863324785,Finger,150,6,0.21888856224036377
82.26584132536537,Finger,150,7,0.9118889559582944
34.666429179828654,Finger,150,8,0.38426561258359204
30.208911184505194,Finger,180,1,0.33485553708403576
46.33987938036951,Finger,180,2,0.5136618497618066
81.7781769568305,Finger,180,3,0.9064833617928798
48.445440207942525,Finger,180,4,0.5370012775708336
45.02264839880193,Finger,180,5,0.4990607909847268
72.52579828461302,Finger,180,6,0.8039238815564851
90.43574698874849,Finger,180,7,1.002449589942391
57.237093513005945,Finger,180,8,0.6344537733375019
85.89569136161408,Finger,210,1,0.9521246127815041
125.83942556524887,Finger,210,2,1.3948873620976932
48.89857846621377,Finger,210,3,0.5420241615112708
99.76950083552713,Finger,210,4,1.1059110863956747
87.03464849893406,Finger,210,5,0.9647495664451302
78.38943804110265,Finger,210,6,0.8689203399834193
73.91870140433316,Finger,210,7,0.8193637403256802
57.65440823969565,Finger,210,8,0.6390795655775888
138.72637385014156,Finger,240,1,1.5377348140616462
298.94597948379436,Finger,240,2,3.31371481440564
185.66063196684206,Finger,240,3,2.0579851505706195
174.8987519445269,Finger,240,4,1.938693359718035
108.78803857299033,Finger,240,5,1.20587851916233
184.45576885158937,Finger,240,6,2.044629651489354
211.6875283036452,Finger,240,7,2.3464844711274284
132.49736091402156,Finger,240,8,1.4686883178311654
97.28290608234349,Finger,270,1,1.0783480267242378
154.14840342467858,Finger,270,2,1.7086827825126338
144.1380996219738,Finger,270,3,1.59772195920602
101.46718563792446,Finger,270,4,1.1247293467703734
90.47755205215982,Finger,270,5,1.0029129848948253
155.9046646419787,Finger,270,6,1.7281503425841318
272.74271971220054,Finger,270,7,3.0232605649764155
77.56207692883974,Finger,270,8,0.8597493225999346
124.33634496468903,Finger,300,1,1.3782262233129488
57.36625036619297,Finger,300,2,0.6358854332598962
125.17952175905944,Finger,300,3,1.3875725521697304
146.53212482258107,Finger,300,4,1.6242589167761177
81.5961857271451,Finger,300,5,0.9044660507223586
190.1508007826378,Finger,300,6,2.107757149343699
200.07011150603552,Finger,300,7,2.2177093452206056
159.6670342537511,Finger,300,8,1.7698549339665879
78.47544865951383,Finger,330,1,0.8698737385235752
119.71755338342639,Finger,330,2,1.3270284847987508
185.92445413228444,Finger,330,3,2.0609095298163433
137.99889656466303,Finger,330,4,1.5296709750289341
115.39177582967447,Finger,330,5,1.2790787074227745
53.62694385241122,Finger,330,6,0.59443648849831
45.382127233104264,Finger,330,7,0.5030454919689977
80.16782913023273,Finger,330,8,0.888633202180239
173.42015097202582,Combined,0,1,1.6211432278218374
120.14506649584449,Combined,0,2,1.123124157223004
152.71541242226226,Combined,0,3,1.4275939401777198
96.13961718234789,Combined,0,4,0.8987196035003348
120.5567979810164,Combined,0,5,1.12697305082116
124.00025232881814,Combined,0,6,1.159162693518178
87.76717782600089,Combined,0,7,0.820453477638869
102.05763063456526,Combined,0,8,0.9540415910343457
165.52334045441683,Combined,30,1,1.5473233123145609
113.37717897273713,Combined,30,2,1.059857489749538
70.62886535410047,Combined,30,3,0.6602433806899992
116.61888980066539,Combined,30,4,1.0901612204624722
146.15854352769696,Combined,30,5,1.366299889027604
111.15939326383784,Combined,30,6,1.0391254798730039
185.25492973562007,Combined,30,7,1.731775535185388
74.29336298205638,Combined,30,8,0.69449935082745
110.54664059082118,Combined,60,1,1.0333974266991202
141.20081453654694,Combined,60,2,1.3199547051817235
332.3029819628234,Combined,60,3,3.106390611324817
151.66775957782372,Combined,60,4,1.417800410969319
57.38380117316675,Combined,60,5,0.5364276304520126
97.16008739256827,Combined,60,6,0.9082590276169679
95.45339880300801,Combined,60,7,0.892304787965702
81.00058052280752,Combined,60,8,0.7571988712278821
130.5307796961532,Combined,90,1,1.2202105023011849
255.72246929815955,Combined,90,2,2.390510831532269
221.1399177954778,Combined,90,3,2.0672308155990806
52.63117363479847,Combined,90,4,0.49199974877274827
42.04924144030327,Combined,90,5,0.3930791353479393
