Format Version,1.24,Take Name,Finger_017,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-08-03 04.25.49.178 午後,Capture Start Frame,404533,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Lunate,Lunate,Lunate,Lunate,Lunate,Lunate,Lunate,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,Radius,Radius,Radius,Radius,Radius,Radius,Radius,Capitate,Capitate,Capitate,Capitate,Capitate,Capitate,Capitate
,ID,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.062738,0.056361,-0.022614,0.996181,193.894958,213.133377,-198.602020,-0.091241,0.029045,-0.014847,0.995295,235.062881,204.903290,-195.734818,-0.024389,0.496462,0.004301,0.867705,100.284691,324.255463,-75.110054,0.007760,-0.028884,0.023070,0.999286,222.182495,163.226624,-177.710007,-0.120606,-0.012930,-0.026066,0.992274,215.950043,189.456436,-198.165390
1,0.010000,-0.062320,0.055627,-0.022497,0.996251,193.876556,213.126434,-198.598557,-0.091323,0.028648,-0.014611,0.995302,235.049927,204.905457,-195.735962,-0.024284,0.496212,0.004728,0.867849,100.238495,324.285004,-75.124588,0.007771,-0.028836,0.023081,0.999287,222.173203,163.227081,-177.710342,-0.120716,-0.013641,-0.025731,0.992260,215.941696,189.455566,-198.167603
2,0.020000,-0.062099,0.055055,-0.022593,0.996294,193.872314,213.128296,-198.595490,-0.091295,0.028722,-0.014657,0.995302,235.047684,204.908203,-195.733490,-0.024168,0.496301,0.004827,0.867801,100.201965,324.316406,-75.123878,0.007775,-0.028846,0.023067,0.999287,222.171356,163.228271,-177.710480,-0.119224,-0.015237,-0.024610,0.992445,215.934067,189.464630,-198.148849
3,0.030000,-0.062355,0.056213,-0.022521,0.996215,193.882690,213.135818,-198.585358,-0.091207,0.028727,-0.014646,0.995310,235.053177,204.912262,-195.727844,-0.024157,0.496284,0.004611,0.867812,100.193146,324.295410,-75.123055,0.007776,-0.028838,0.023068,0.999288,222.175323,163.230774,-177.707245,-0.119376,-0.017744,-0.023304,0.992417,215.938568,189.469788,-198.141388
4,0.040000,-0.062831,0.056649,-0.022476,0.996162,193.896179,213.140167,-198.590057,-0.091068,0.029081,-0.014843,0.995309,235.065338,204.909576,-195.724609,-0.024470,0.496545,0.004427,0.867655,100.198570,324.244995,-75.097366,0.007790,-0.028858,0.023047,0.999287,222.183121,163.228638,-177.704117,-0.120303,-0.017446,-0.024286,0.992287,215.961670,189.473907,-198.148895
5,0.050000,-0.063166,0.057378,-0.022434,0.996100,193.910004,213.137543,-198.581879,-0.090927,0.029493,-0.014842,0.995310,235.079666,204.902374,-195.724747,-0.024375,0.496397,0.004295,0.867743,100.227585,324.261719,-75.073952,0.007863,-0.028894,0.023037,0.999286,222.194519,163.223175,-177.702316,-0.122154,-0.014988,-0.025747,0.992064,215.991653,189.451706,-198.158524
